time,open,close,high,low,volume
1535736720000,0.043712,0.046247,0.046247,0.043712,11128.90856818
1535737200000,0.041049,0.041049,0.041049,0.041049,977.0
1535737380000,0.044103,0.044103,0.044103,0.044103,977.0
1535757120000,0.046993,0.046993,0.046993,0.046993,302.0
1535774700000,0.04499,0.04499,0.04499,0.04499,657.455
1535785260000,0.0445,0.0445,0.0445,0.0445,1467.394
1535785320000,0.0445,0.0445,0.0445,0.0445,321.20185394
1535785380000,0.0445,0.0445,0.0445,0.0445,335.467
1535785440000,0.0445,0.0445,0.0445,0.0445,1069.783
1535785560000,0.0445,0.0445,0.0445,0.0445,2881.5
1535785800000,0.044499,0.0445,0.0445,0.044499,3997.85329787
1535785860000,0.044499,0.0445,0.0445,0.044498,1012.042
1535785980000,0.044499,0.0445,0.0445,0.044499,798.9590000000003
1535786280000,0.0445,0.0445,0.0445,0.0445,370.552
1535787360000,0.044488,0.04358,0.044488,0.04358,12314.70099895
1535802180000,0.046977,0.046977,0.046977,0.046977,1010.0
1535815320000,0.045246,0.045246,0.045246,0.045246,1007.98
1535818080000,0.04698,0.04698,0.04698,0.04698,10055.09985085
1535820660000,0.0475,0.0475,0.0475,0.0475,10500.0
1535821200000,0.047405,0.049115,0.049115,0.047405,18902.43368037
1535829240000,0.048245,0.048245,0.048245,0.048245,1002.0
1535831100000,0.048245,0.048245,0.048245,0.048245,1000.0
1535834820000,0.048,0.048,0.048,0.048,4200.0
1535839260000,0.0475,0.0475,0.0475,0.0475,7894.73684211
1535839320000,0.0475,0.0475,0.0475,0.0475,1105.26315789
1535843340000,0.0475,0.0475,0.0475,0.0475,421.05263157
1535851260000,0.04655,0.045246,0.04655,0.045246,12410.6239472
1535851320000,0.045246,0.045246,0.045246,0.045246,1345.75146436
1535864400000,0.044854000000000005,0.044854000000000005,0.044854000000000005,0.044854000000000005,798.4
1535870100000,0.0481,0.0481,0.0481,0.0481,9086.49738432
1535873520000,0.045678,0.044854000000000005,0.045678,0.044854000000000005,11000.0
1535873760000,0.046098,0.046098,0.046098,0.046098,9732.0
1535875380000,0.0482,0.0482,0.0482,0.0482,850.0
1535883120000,0.046,0.046,0.046,0.046,8582.26409832
1535883180000,0.046,0.046,0.046,0.046,5620.661
1535883720000,0.046,0.046,0.046,0.046,6036.45
1535883960000,0.046,0.046,0.046,0.046,1120.514
1535884020000,0.046,0.046,0.046,0.046,6640.11090168
1535886660000,0.046,0.046,0.046,0.046,1200.0
